Ship,URL
USS ABBOTT,https://en.wikipedia.org/wiki/USS_Abbot_(DD-629)
USS ANDERSON,https://en.wikipedia.org/wiki/USS_Anderson
USS APPALACHIAN,https://en.wikipedia.org/wiki/USS_Appalachian
USS BALCH,https://en.wikipedia.org/wiki/USS_Balch_(DD-363)
USS BANCROFT,https://en.wikipedia.org/wiki/USS_Bancroft_(DD-598)
USS BLUE RIDGE,https://en.wikipedia.org/wiki/USS_Blue_Ridge_(AGC-2)
USS BOISE,https://en.wikipedia.org/wiki/USS_Boise_(CL-47)
USS BRANNON,https://en.wikipedia.org/wiki/USS_Charles_E._Brannon
USS CASE,https://en.wikipedia.org/wiki/USS_Case_(DD-370)
USS CASSIOPEIA,https://en.wikipedia.org/wiki/USS_Cassiopeia_(AK-75)
USS CHEPATCHET,https://en.wikipedia.org/wiki/USS_Chepachet_(AO-78)
USS CIMARON,https://en.wikipedia.org/wiki/USS_Cimarron_(AO-22)
USS COLUMBIA,https://en.wikipedia.org/wiki/USS_Columbia_(CL-56)
USS COMPETENT,https://en.wikipedia.org/wiki/USS_Competent_(AM-316)
USS CONY,https://en.wikipedia.org/wiki/USS_Cony_(DD-508)
USS CONYNGHAM,https://en.wikipedia.org/wiki/USS_Conyngham_(DD-371)
USS CRAVEN,https://en.wikipedia.org/wiki/USS_Craven_(DD-382)
USS CUMMINGS,https://en.wikipedia.org/wiki/USS_Cummings_(DD-365)
USS DAYTON,https://en.wikipedia.org/wiki/USS_Dayton_(CL-105)
USS DEHAVEN,https://en.wikipedia.org/wiki/USS_De_Haven_(DD-469)
USS DIXIE,https://en.wikipedia.org/wiki/USS_Dixie_(AD-14)
USS DOBBIN,https://en.wikipedia.org/wiki/USS_Dobbin_(AD-3)
USS DUNLAP,https://en.wikipedia.org/wiki/USS_Dunlap
USS EDWARDS,https://en.wikipedia.org/wiki/USS_Edwards_(DD-619)
USS FANNING,https://en.wikipedia.org/wiki/USS_Fanning_(DD-385)
USS FLETCHER,https://en.wikipedia.org/wiki/USS_Fletcher_(DD-445)
USS FLUSSER,https://en.wikipedia.org/wiki/USS_Flusser_(DD-368)
